,upper,lower,power
2011-01-01 00:00:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 00:15:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 00:30:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 00:45:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 01:00:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 01:15:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 01:30:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 01:45:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 02:00:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 02:15:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 02:30:00,0.0011859999999999996,-0.0011859999999999996,0.0011859999999999996
2011-01-01 02:45:00,0.003389796524554535,-0.0011859999999999996,0.012185999940395223
2011-01-01 03:00:00,0.003389796524554535,-0.0011859999999999996,0.012185999940395223
2011-01-01 03:15:00,0.003389796524554535,-0.0011859999999999996,0.012185999940395223
2011-01-01 03:30:00,0.003389796524554535,-0.0011859999999999996,0.012185999940395223
2011-01-01 03:45:00,0.004555221114553555,-0.0011859999999999996,0.023185999880790724
2011-01-01 04:00:00,0.005420088235534771,-0.0011859999999999996,0.03418599982118608
2011-01-01 04:15:00,0.005420088235534771,-0.0011859999999999996,0.03418599982118608
2011-01-01 04:30:00,0.01338112650277466,-0.0011859999999999996,0.0781859995827675
2011-01-01 04:45:00,0.02816243585270292,-0.0011859999999999996,0.1368859992858623
2011-01-01 05:00:00,0.04136753797369496,-0.0011859999999999996,0.1368859992858623
2011-01-01 05:15:00,0.056313796134911935,-0.0011859999999999996,0.1808859990474437
2011-01-01 05:30:00,0.06869036814036265,-0.0011859999999999996,0.20288599892823445
2011-01-01 05:45:00,0.1056220285159205,0.003561517872601707,0.33488599821297665
2011-01-01 06:00:00,0.1505818777864468,0.008511518311441141,0.4485859976180447
2011-01-01 06:15:00,0.22839329577122303,0.013461518284619051,0.658685998575073
2011-01-01 06:30:00,0.31096171004768564,0.018411517326473975,0.91538599720529
2011-01-01 06:45:00,0.4226778428333419,0.023361517299651885,1.1977859957174042
2011-01-01 07:00:00,0.5593241650990753,0.023361517299651885,1.484885995558698
2011-01-01 07:15:00,0.7068071663293635,0.027849707353614056,1.795285994935076
2011-01-01 07:30:00,0.8424457493152163,0.03331072344140684,2.0337859939814034
2011-01-01 07:45:00,0.9756810355379886,0.03739829560204929,2.3161859906308853
2011-01-01 08:00:00,1.1309438212688658,0.04848326004271911,2.688885989881365
2011-01-01 08:15:00,1.291686499540935,0.06226185855617329,3.021385989667172
2011-01-01 08:30:00,1.4168154965650805,0.08311239543532536,3.1923859902222462
2011-01-01 08:45:00,1.5138604086737606,0.10680662177897571,3.265785990099686
2011-01-01 09:00:00,1.622633246521696,0.13604846166841267,3.3867859894440353
2011-01-01 09:15:00,1.7223531274853687,0.16015115581963724,3.3807859884605582
2011-01-01 09:30:00,1.8081488420634932,0.17714540597213013,3.40648598950662
2011-01-01 09:45:00,1.8979403977778202,0.20141474012912763,3.5164859889105746
2011-01-01 10:00:00,1.975329521278145,0.22608874547718838,3.494485989029784
2011-01-01 10:15:00,2.045381220340026,0.25525393537619395,3.5664859896556336
2011-01-01 10:30:00,2.109620785855923,0.2901649841891966,3.6067859894160987
2011-01-01 10:45:00,2.1651327936474773,0.325901092751757,3.6287859892968903
2011-01-01 11:00:00,2.2154406813120104,0.35521143714273734,3.610485989417217
2011-01-01 11:15:00,2.2554553594004925,0.3888976189277527,3.6361859892991255
2011-01-01 11:30:00,2.2962384170883,0.42978933947730596,3.7301859898057628
2011-01-01 11:45:00,2.3267934115633957,0.5004922025923088,3.7411859897461577
2011-01-01 12:00:00,2.3611047223007895,0.5476807901809112,3.628885989359838
2011-01-01 12:15:00,2.3921137948550877,0.6073257343463949,3.603185989245099
2011-01-01 12:30:00,2.426274172371035,0.6714473373808303,3.595885989305821
2011-01-01 12:45:00,2.4697934611381624,0.732657982132382,3.654585989008922
2011-01-01 13:00:00,2.5205595858774767,0.785167591131044,3.6215859891877358
2011-01-01 13:15:00,2.5733409891168235,0.8543642636008868,3.643585989068531
2011-01-01 13:30:00,2.636653577143567,0.9218265817484762,3.683985988891958
2011-01-01 13:45:00,2.6946265544889116,1.0007678479391433,3.7390859884240677
2011-01-01 14:00:00,2.7527413148114093,1.0501068561729507,3.6276859895356925
2011-01-01 14:15:00,2.808447908543299,1.1280596223163795,3.733985988938531
2011-01-01 14:30:00,2.855718019118786,1.2120303949072544,3.6569859898214245
2011-01-01 14:45:00,2.8992267340568585,1.312297313362673,3.598285989885501
2011-01-01 15:00:00,2.948288576552436,1.3768830900166604,3.3772859890510247
2011-01-01 15:15:00,3.0012878521143285,1.45061268977358,3.3809859890521463
2011-01-01 15:30:00,3.0615961310600754,1.5311420334851134,3.4469859886945233
2011-01-01 15:45:00,3.1224242420781327,1.6128868958853417,3.3699859893445834
2011-01-01 16:00:00,3.1901101407043564,1.6597994605049031,3.2599859906391218
2011-01-01 16:15:00,3.2560052944960014,1.7136550930967815,3.3186859903422166
2011-01-01 16:30:00,3.350533630108272,1.778023627700783,3.5153859907792038
2011-01-01 16:45:00,3.4374234653574454,1.8633564446877047,3.636485990419346
2011-01-01 17:00:00,3.5479061741994733,1.8965254380104661,3.4874859895122423
